"p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
1.40784966621176e-11,-0.55699859024031,0.066,0.327,3.45655250048311e-07
1.41790104840057e-11,-0.599435981247079,0.166,0.582,3.48123065403308e-07
1.4327906593246e-11,-0.765207155701186,0.174,0.582,3.51778762677376e-07
1.50045729619154e-11,-0.254141565256908,0.001,0.055,3.68392275360947e-07
1.51023523315948e-11,-0.563643713913217,0.015,0.145,3.70792954445316e-07
1.53346013115007e-11,-0.303862142206579,0.001,0.055,3.76495131399965e-07
1.56717354158381e-11,-0.265525854098953,0.001,0.055,3.84772447929656e-07
1.56717354158381e-11,-0.167581406641439,0.001,0.055,3.84772447929656e-07
1.56717354158381e-11,-0.18897080589925,0.001,0.055,3.84772447929656e-07
1.56717354158381e-11,-0.202788225357262,0.001,0.055,3.84772447929656e-07
1.56717354158381e-11,-0.25675636582136,0.001,0.055,3.84772447929656e-07
1.56717354158381e-11,-0.23379369981217,0.001,0.055,3.84772447929656e-07
1.59233643390944e-11,-0.528158075999096,0.023,0.182,3.90950441253445e-07
1.6450676591321e-11,-0.524740202616798,0.079,0.364,4.03897011670112e-07
1.69649301452226e-11,-0.448173743446231,0.015,0.145,4.16522964925505e-07
1.82111386445248e-11,-0.330379411668754,0.008,0.109,4.47119876000374e-07
1.86882198486205e-11,-0.532151836116703,0.066,0.327,4.5883317372333e-07
2.00302485791493e-11,-0.296763047133325,0.005,0.091,4.91782663115273e-07
2.02681404912606e-11,-0.528198948409888,0.135,0.509,4.97623385341429e-07
2.34742534891505e-11,-0.717369011352736,0.234,0.709,5.76339871665622e-07
2.50582420162387e-11,-0.635930728398406,0.13,0.491,6.15229957982692e-07
2.63854646689961e-11,-0.588271380055629,0.044,0.255,6.47815928553193e-07
2.75652068293549e-11,-0.660069114846933,0.055,0.291,6.76780958074321e-07
3.27091726779927e-11,-0.501156701194535,0.086,0.382,8.03075607590076e-07
3.79925170153297e-11,-0.518613283325081,0.055,0.291,9.32792277760375e-07
3.84563429969894e-11,-0.547127126494502,0.068,0.327,9.44180133262085e-07
4.03047478795475e-11,-0.60425602882586,0.252,0.745,9.8956216993865e-07
4.58730955407435e-11,-0.455046522370649,0.016,0.145,1.12627624171633e-06
4.71592285565066e-11,-0.584830747936208,0.089,0.382,1.15785337951935e-06
4.82355819896586e-11,-0.526310110219681,0.081,0.364,1.1842800090101e-06
4.87867479797824e-11,-0.742781813879723,0.105,0.418,1.19781223639962e-06
5.22500806685458e-11,-0.220737542205837,0.02,0.164,1.28284398057414e-06
5.36770442870235e-11,-0.534219831982177,0.062,0.309,1.317878791335e-06
5.40099753248558e-11,-0.335120600887983,0.016,0.145,1.32605291417586e-06
